ratiocoverage,guard_number,map_type,map_size,map_density
0.1738,3,maze,10000,0
0.2654,4,maze,10000,0
0.3764,5,maze,10000,0
0.4834,6,maze,10000,0
0.6306,7,maze,10000,0
0.7166,8,maze,10000,0
0.7752,9,maze,10000,0
0.8349,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.2063,3,maze,10000,0
0.3236,4,maze,10000,0
0.4698,5,maze,10000,0
0.5562,6,maze,10000,0
0.6799,7,maze,10000,0
0.7469,8,maze,10000,0
0.8306,9,maze,10000,0
0.8664,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.2064,3,maze,10000,0
0.2949,4,maze,10000,0
0.4022,5,maze,10000,0
0.4902,6,maze,10000,0
0.6078,7,maze,10000,0
0.7298,8,maze,10000,0
0.8,9,maze,10000,0
0.872,10,maze,10000,0
0.0343,1,maze,10000,0
0.0792,2,maze,10000,0
0.183,3,maze,10000,0
0.2715,4,maze,10000,0
0.381,5,maze,10000,0
0.4971,6,maze,10000,0
0.6196,7,maze,10000,0
0.743,8,maze,10000,0
0.8107,9,maze,10000,0
0.8235,10,maze,10000,0
0.0356,1,maze,10000,0
0.0892,2,maze,10000,0
0.1826,3,maze,10000,0
0.2907,4,maze,10000,0
0.3779,5,maze,10000,0
0.4931,6,maze,10000,0
0.6351,7,maze,10000,0
0.7266,8,maze,10000,0
0.8101,9,maze,10000,0
0.8609,10,maze,10000,0
0.029,1,maze,10000,0
0.0958,2,maze,10000,0
0.1822,3,maze,10000,0
0.2898,4,maze,10000,0
0.41,5,maze,10000,0
0.4865,6,maze,10000,0
0.5745,7,maze,10000,0
0.6167,8,maze,10000,0
0.7175,9,maze,10000,0
0.865,10,maze,10000,0
0.0356,1,maze,10000,0
0.104,2,maze,10000,0
0.1877,3,maze,10000,0
0.2749,4,maze,10000,0
0.3919,5,maze,10000,0
0.4936,6,maze,10000,0
0.6142,7,maze,10000,0
0.7439,8,maze,10000,0
0.7998,9,maze,10000,0
0.8791,10,maze,10000,0
0.0356,1,maze,10000,0
0.0862,2,maze,10000,0
0.1862,3,maze,10000,0
0.309,4,maze,10000,0
0.3932,5,maze,10000,0
0.508,6,maze,10000,0
0.6561,7,maze,10000,0
0.7223,8,maze,10000,0
0.8302,9,maze,10000,0
0.8622,10,maze,10000,0
0.0356,1,maze,10000,0
0.1021,2,maze,10000,0
0.1828,3,maze,10000,0
0.2968,4,maze,10000,0
0.3864,5,maze,10000,0
0.4787,6,maze,10000,0
0.5784,7,maze,10000,0
0.6765,8,maze,10000,0
0.7531,9,maze,10000,0
0.7955,10,maze,10000,0
0.0356,1,maze,10000,0
0.0935,2,maze,10000,0
0.1962,3,maze,10000,0
0.2993,4,maze,10000,0
0.4128,5,maze,10000,0
0.5485,6,maze,10000,0
0.6384,7,maze,10000,0
0.7072,8,maze,10000,0
0.7458,9,maze,10000,0
0.835,10,maze,10000,0
0.0226,1,maze,10000,0
0.0938,2,maze,10000,0
0.175,3,maze,10000,0
0.2646,4,maze,10000,0
0.3773,5,maze,10000,0
0.4716,6,maze,10000,0
0.5671,7,maze,10000,0
0.6325,8,maze,10000,0
0.7236,9,maze,10000,0
0.7738,10,maze,10000,0
0.0356,1,maze,10000,0
0.1012,2,maze,10000,0
0.1797,3,maze,10000,0
0.2675,4,maze,10000,0
0.3663,5,maze,10000,0
0.5239,6,maze,10000,0
0.6144,7,maze,10000,0
0.7182,8,maze,10000,0
0.7843,9,maze,10000,0
0.8731,10,maze,10000,0
0.0223,1,maze,10000,0
0.0935,2,maze,10000,0
0.1768,3,maze,10000,0
0.2667,4,maze,10000,0
0.3287,5,maze,10000,0
0.4483,6,maze,10000,0
0.5634,7,maze,10000,0
0.6309,8,maze,10000,0
0.7453,9,maze,10000,0
0.8132,10,maze,10000,0
0.0311,1,maze,10000,0
0.089,2,maze,10000,0
0.181,3,maze,10000,0
0.3005,4,maze,10000,0
0.3582,5,maze,10000,0
0.4922,6,maze,10000,0
0.6313,7,maze,10000,0
0.7353,8,maze,10000,0
0.8015,9,maze,10000,0
0.8448,10,maze,10000,0
0.0356,1,maze,10000,0
0.0815,2,maze,10000,0
0.1358,3,maze,10000,0
0.2376,4,maze,10000,0
0.3256,5,maze,10000,0
0.462,6,maze,10000,0
0.6174,7,maze,10000,0
0.7216,8,maze,10000,0
0.8004,9,maze,10000,0
0.8871,10,maze,10000,0
0.0356,1,maze,10000,0
0.1063,2,maze,10000,0
0.2059,3,maze,10000,0
0.2916,4,maze,10000,0
0.4018,5,maze,10000,0
0.4917,6,maze,10000,0
0.6077,7,maze,10000,0
0.6756,8,maze,10000,0
0.724,9,maze,10000,0
0.7695,10,maze,10000,0
0.0356,1,maze,10000,0
0.0838,2,maze,10000,0
0.169,3,maze,10000,0
0.2981,4,maze,10000,0
0.3875,5,maze,10000,0
0.4871,6,maze,10000,0
0.601,7,maze,10000,0
0.6658,8,maze,10000,0
0.7504,9,maze,10000,0
0.8019,10,maze,10000,0
0.0311,1,maze,10000,0
0.0721,2,maze,10000,0
0.1631,3,maze,10000,0
0.2691,4,maze,10000,0
0.3905,5,maze,10000,0
0.4985,6,maze,10000,0
0.6085,7,maze,10000,0
0.6909,8,maze,10000,0
0.7503,9,maze,10000,0
0.8065,10,maze,10000,0
0.0356,1,maze,10000,0
0.1002,2,maze,10000,0
0.1928,3,maze,10000,0
0.3097,4,maze,10000,0
0.4381,5,maze,10000,0
0.5665,6,maze,10000,0
0.6375,7,maze,10000,0
0.7196,8,maze,10000,0
0.8116,9,maze,10000,0
0.8589,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.2005,3,maze,10000,0
0.2617,4,maze,10000,0
0.4136,5,maze,10000,0
0.5024,6,maze,10000,0
0.6579,7,maze,10000,0
0.7133,8,maze,10000,0
0.7901,9,maze,10000,0
0.8379,10,maze,10000,0
0.0223,1,maze,10000,0
0.0828,2,maze,10000,0
0.1841,3,maze,10000,0
0.2631,4,maze,10000,0
0.3363,5,maze,10000,0
0.453,6,maze,10000,0
0.5971,7,maze,10000,0
0.6965,8,maze,10000,0
0.788,9,maze,10000,0
0.8373,10,maze,10000,0
0.0356,1,maze,10000,0
0.1021,2,maze,10000,0
0.1701,3,maze,10000,0
0.2757,4,maze,10000,0
0.39,5,maze,10000,0
0.5282,6,maze,10000,0
0.6535,7,maze,10000,0
0.7206,8,maze,10000,0
0.7725,9,maze,10000,0
0.8337,10,maze,10000,0
0.0356,1,maze,10000,0
0.0902,2,maze,10000,0
0.1784,3,maze,10000,0
0.2962,4,maze,10000,0
0.4164,5,maze,10000,0
0.5394,6,maze,10000,0
0.6453,7,maze,10000,0
0.7631,8,maze,10000,0
0.8283,9,maze,10000,0
0.8696,10,maze,10000,0
0.0356,1,maze,10000,0
0.0906,2,maze,10000,0
0.1755,3,maze,10000,0
0.2449,4,maze,10000,0
0.3741,5,maze,10000,0
0.5006,6,maze,10000,0
0.5316,7,maze,10000,0
0.6522,8,maze,10000,0
0.746,9,maze,10000,0
0.8438,10,maze,10000,0
0.0283,1,maze,10000,0
0.0995,2,maze,10000,0
0.1935,3,maze,10000,0
0.2739,4,maze,10000,0
0.4334,5,maze,10000,0
0.5484,6,maze,10000,0
0.5992,7,maze,10000,0
0.723,8,maze,10000,0
0.797,9,maze,10000,0
0.8522,10,maze,10000,0
0.0356,1,maze,10000,0
0.105,2,maze,10000,0
0.1837,3,maze,10000,0
0.2955,4,maze,10000,0
0.4169,5,maze,10000,0
0.5375,6,maze,10000,0
0.593,7,maze,10000,0
0.7119,8,maze,10000,0
0.7953,9,maze,10000,0
0.8619,10,maze,10000,0
0.0356,1,maze,10000,0
0.0998,2,maze,10000,0
0.2036,3,maze,10000,0
0.2711,4,maze,10000,0
0.3979,5,maze,10000,0
0.5295,6,maze,10000,0
0.6508,7,maze,10000,0
0.7536,8,maze,10000,0
0.7924,9,maze,10000,0
0.8455,10,maze,10000,0
0.03,1,maze,10000,0
0.1012,2,maze,10000,0
0.1924,3,maze,10000,0
0.29,4,maze,10000,0
0.3438,5,maze,10000,0
0.476,6,maze,10000,0
0.5708,7,maze,10000,0
0.703,8,maze,10000,0
0.7865,9,maze,10000,0
0.8513,10,maze,10000,0
0.0356,1,maze,10000,0
0.0986,2,maze,10000,0
0.1829,3,maze,10000,0
0.3031,4,maze,10000,0
0.4149,5,maze,10000,0
0.5391,6,maze,10000,0
0.6277,7,maze,10000,0
0.7062,8,maze,10000,0
0.7716,9,maze,10000,0
0.8267,10,maze,10000,0
